Re, 113956.35144439101
ClH, 113960.610038946
Re, 113964.03103572401
ThD, 113968.24791161901
Re, 113971.72444084402
WrD, 113975.69136893401
Re, 113979.256836618
WrD, 113983.49465816101
Re, 113986.699199914
RiD, 113990.96170588801
Re, 113994.493126988
ThO, 113998.749280759
Re, 114002.085189685
ThO, 114006.438572421
Re, 114009.80062582501
InU, 114013.822605577
Re, 114017.292269152
ClH, 114021.356150794
Re, 114024.839878635
ClQ, 114028.82454720102
Re, 114032.16106695801
ClQ, 114036.31612530601
Re, 114039.85756311301
InD, 114044.22215252901
Re, 114048.09268592301
PP, 114051.999483947
Re, 114055.50589586601
MiD, 114059.78018052901
Re, 114063.22444206601
InU, 114067.241360344
Re, 114070.78532235601
PiD, 114074.96068125402
Re, 114078.49927856801
RiD, 114082.64398111301
Re, 114086.193601213
WrU, 114090.69023588601
Re, 114094.24286887
PP, 114098.54112277301
Re, 114102.113906899
InD, 114106.27619252201
Re, 114109.813673444
ThD, 114114.07126406701
Re, 114117.68307793101
PiD, 114121.98953367601
Re, 114125.163688614
WrU, 114129.26751116301
Re, 114132.773753814
MiD, 114137.041482642
