Re, 110285.70052642701
ThD, 110290.21856768601
Re, 110293.67355290001
WrU, 110297.973233607
Re, 110301.51687095301
ThO, 110306.010372809
Re, 110309.618080914
WrU, 110314.069909215
Re, 110317.669144282
ClH, 110322.20011055001
Re, 110325.610918438
PiD, 110329.84283631101
Re, 110333.68461060301
RiD, 110338.25009576601
Re, 110341.65327429601
WrD, 110345.73031385701
Re, 110349.34038741801
ClQ, 110353.653524609
Re, 110357.226100048
InU, 110361.553295103
Re, 110365.082532713
PP, 110369.324791024
Re, 110372.97109444601
InD, 110377.34252911001
Re, 110380.966113903
MiD, 110385.092187588
Re, 110388.388182919
ThO, 110392.811767214
Re, 110396.464661288
PP, 110400.492081204
Re, 110404.13000318201
InD, 110408.29160127201
Re, 110411.766200736
MiD, 110416.113117939
Re, 110419.54361876601
InU, 110423.80674781701
Re, 110427.442934232
PiD, 110431.71157932401
Re, 110435.203647706
RiD, 110439.37139704701
Re, 110442.77589457601
WrD, 110447.03477463701
Re, 110450.766885709
ThD, 110454.83670425
Re, 110458.411079076
ClQ, 110462.869864715
Re, 110466.64980719001
ClH, 110470.881870486
